topic,Method,k,R1,R2,RL
bio,PCE-random,1,0.24109618286523826,0.08863540555605175,0.21372502694152046
bio,PCE-random,2,0.31631089878341745,0.113366742640273,0.2843637218794301
bio,PCE-random,3,0.3308034838737599,0.11950946048939794,0.299986268423354
bio,PCE-random,4,0.32119254693971533,0.11762934202169886,0.2932780835224893
bio,PCE-random,5,0.3044610246553628,0.11364641721772241,0.28003553508673634
bio,PCE-rouge2,1,0.23979081641949637,0.0882556955167898,0.21317557047961075
bio,PCE-rouge2,2,0.31657706485447545,0.11326748858280186,0.28528127409100446
bio,PCE-rouge2,3,0.3325557473503777,0.11956200186648565,0.30246183624744516
bio,PCE-rouge2,4,0.3240422281331336,0.11868594473438171,0.29680309750525324
bio,PCE-rouge2,5,0.30701535671303776,0.11513911483193516,0.2826914510270709
bio,PCE-best,1,0.24181387604337024,0.0908584977287132,0.21528121989214322
bio,PCE-best,2,0.31824002782098276,0.11659584205278126,0.2874472436207685
bio,PCE-best,3,0.3335210495903395,0.12222218054443501,0.30384337262240124
bio,PCE-best,4,0.32413522887315493,0.12071394763495912,0.29719772863949506
bio,PCE-best,5,0.3074832327202816,0.11685744810363305,0.28311695534687875
bio,THExt,1,0.2440184949081658,0.08085974551759587,0.2136109738841578
bio,THExt,2,0.29653071737636705,0.09813525872206016,0.2654172979520819
bio,THExt,3,0.30015995957671426,0.10165359349944485,0.27161166653241375
bio,THExt,4,0.2884535763420875,0.10006947082149686,0.26317892101382734
bio,THExt,5,0.27325202956188493,0.09732296986792532,0.25107990721997775
