topic,Method,k,R1,R2,RL
cs,PCE-random,1,0.2655940041035262,0.11703547376376941,0.24147808561723566
cs,PCE-random,2,0.35525359056573064,0.14752935921059687,0.32311343894885614
cs,PCE-random,3,0.36470357982752327,0.148451026566242,0.3360933021046598
cs,PCE-random,4,0.3517055031636395,0.1448887237060201,0.3256133298085571
cs,PCE-random,5,0.3336555571915878,0.13964239907429005,0.309988501038596
cs,PCE-rouge2,1,0.2886628470307399,0.1300272174935667,0.26149428505507843
cs,PCE-rouge2,2,0.36212077344943394,0.15045830508013314,0.3292800049364851
cs,PCE-rouge2,3,0.3675892542481506,0.1509901121090655,0.338967671873555
cs,PCE-rouge2,4,0.3543871804532653,0.1458943279964651,0.3278841959633032
cs,PCE-rouge2,5,0.3337631376253025,0.13862707924122628,0.31002125337548964
cs,PCE-best,1,0.2792751369340107,0.12911396277595785,0.25069568070386317
cs,PCE-best,2,0.36742273401096737,0.1624307171529013,0.3343739087484796
cs,PCE-best,3,0.37378837641693885,0.16131118734387584,0.34430733838055017
cs,PCE-best,4,0.36202871068278103,0.15613181562646114,0.33437763296476997
cs,PCE-best,5,0.3373596582794035,0.1484638053529914,0.31484850741062903
cs,THExt,1,0.2750206603871899,0.1067948483322903,0.24814107126105323
cs,THExt,2,0.3177007067292058,0.12113071749826654,0.2913196373516305
cs,THExt,3,0.3138453027559469,0.12041777767249738,0.28991437050044283
cs,THExt,4,0.2989257199169658,0.11718024798706757,0.2765283793071074
cs,THExt,5,0.27820439104735745,0.11005992179397169,0.2593665135592837
