topic,Method,K,R1,R2,RL, BERTScore
ai,PCE-random,1,0.22344856300214694,0.08552290895462633,0.20175479902439494,0.8540407518545786
ai,PCE-random,2,0.3238017246390177,0.11849606773071115,0.29256455499106176,0.8725126015417504
ai,PCE-random,3,0.3353390147830101,0.12128825440837816,0.30561860240170613,0.8719096824978337
ai,PCE-random,4,0.32018693508642915,0.11457230372500603,0.2937839569005728,0.8699025990384998
ai,PCE-random,5,0.3026888610352466,0.10521653744707202,0.27769767290789865,0.8667948571118441
ai,PCE-rouge2,1,0.25442511179147087,0.09658485374661537,0.22056885789417258,0.870810375069127
ai,PCE-rouge2,2,0.3256759101671995,0.11723641709904654,0.2896386113821034,0.8743088109926744
ai,PCE-rouge2,3,0.3371569125958865,0.11780382594098515,0.30379878053106607,0.8721339260086869
ai,PCE-rouge2,4,0.32681721220825477,0.11626908227380464,0.29740323655515916,0.8698767694559965
ai,PCE-rouge2,5,0.3146650521950517,0.11330812264085623,0.28621167613472687,0.8684864297057643
ai,PCE-best,1,0.24044195651816294,0.08485868286197927,0.21534520742697105,0.869096122004769
ai,PCE-best,2,0.3211001581379763,0.11708069535450083,0.2934076764069858,0.8721681995825334
ai,PCE-best,3,0.34146708660409014,0.12501701958815625,0.31113320329256144,0.873066330497915
ai,PCE-best,4,0.3295637087612974,0.12281604396232439,0.3026773748924694,0.8709921602046851
ai,PCE-best,5,0.309749031332499,0.11440353586965635,0.2839823059230841,0.8680608904722965
ai,THExt,1,0.26313955644027565,0.08708938834867078,0.22385682228066534,0.8648860924171679
ai,THExt,2,0.3250319309181269,0.11538215018960266,0.28789249439215736,0.868844696969697
ai,THExt,3,0.3350403717938848,0.12527985999970123,0.2998488343225785,0.8688250716888544
ai,THExt,4,0.3205117245159571,0.1255839183174462,0.2923374095934717,0.8676650795069608
ai,THExt,5,0.304667399242673,0.11844456903976497,0.2796339988212361,0.8644821282589075
bio,PCE-random,1,0.24109618286523826,0.08863540555605175,0.21372502694152046,0.8662348242940513
bio,PCE-random,2,0.31631089878341745,0.113366742640273,0.2843637218794301,0.870848076937367
bio,PCE-random,3,0.3308034838737599,0.11950946048939794,0.299986268423354,0.8706392352465804
bio,PCE-random,4,0.32119254693971533,0.11762934202169886,0.2932780835224893,0.8688506673259806
bio,PCE-random,5,0.3044610246553628,0.11364641721772241,0.28003553508673634,0.8667270015163493
bio,PCE-rouge2,1,0.23979081641949637,0.0882556955167898,0.21317557047961075,0.8656940970722184
bio,PCE-rouge2,2,0.31657706485447545,0.11326748858280186,0.28528127409100446,0.8711029659416596
bio,PCE-rouge2,3,0.3325557473503777,0.11956200186648565,0.30246183624744516,0.871140713230828
bio,PCE-rouge2,4,0.3240422281331336,0.11868594473438171,0.29680309750525324,0.8695387500590994
bio,PCE-rouge2,5,0.30701535671303776,0.11513911483193516,0.2826914510270709,0.8673507203621492
bio,PCE-best,1,0.24181387604337024,0.0908584977287132,0.21528121989214322,0.866404836394973
bio,PCE-best,2,0.31824002782098276,0.11659584205278126,0.2874472436207685,0.8714696581700477
bio,PCE-best,3,0.3335210495903395,0.12222218054443501,0.30384337262240124,0.871404879022265
bio,PCE-best,4,0.32413522887315493,0.12071394763495912,0.29719772863949506,0.8696713011947264
bio,PCE-best,5,0.3074832327202816,0.11685744810363305,0.28311695534687875,0.8674480358685702
bio,THExt,1,0.2440184949081658,0.08085974551759587,0.2136109738841578,0.8593820466059808
bio,THExt,2,0.29653071737636705,0.09813525872206016,0.2654172979520819,0.8622538842881253
bio,THExt,3,0.30015995957671426,0.10165359349944485,0.27161166653241375,0.8618874112332753
bio,THExt,4,0.2884535763420875,0.10006947082149686,0.26317892101382734,0.8601357438067073
bio,THExt,5,0.27325202956188493,0.09732296986792532,0.25107990721997775,0.858237428161674
cs,PCE-random,1,0.2655940041035262,0.11703547376376941,0.24147808561723566,0.8776178840796153
cs,PCE-random,2,0.35525359056573064,0.14752935921059687,0.32311343894885614,0.881429352760315
cs,PCE-random,3,0.36470357982752327,0.148451026566242,0.3360933021046598,0.8798786528905232
cs,PCE-random,4,0.3517055031636395,0.1448887237060201,0.3256133298085571,0.8773382985591889
cs,PCE-random,5,0.3336555571915878,0.13964239907429005,0.309988501038596,0.8751756421724955
cs,PCE-rouge2,1,0.2886628470307399,0.1300272174935667,0.26149428505507843,0.8792176055908203
cs,PCE-rouge2,2,0.36212077344943394,0.15045830508013314,0.3292800049364851,0.8811455098787944
cs,PCE-rouge2,3,0.3675892542481506,0.1509901121090655,0.338967671873555,0.8807875216007233
cs,PCE-rouge2,4,0.3543871804532653,0.1458943279964651,0.3278841959633032,0.8779895170529683
cs,PCE-rouge2,5,0.3337631376253025,0.13862707924122628,0.31002125337548964,0.875436338186264
cs,PCE-best,1,0.2792751369340107,0.12911396277595785,0.25069568070386317,0.8780739005406698
cs,PCE-best,2,0.36742273401096737,0.1624307171529013,0.3343739087484796,0.8825879418849945
cs,PCE-best,3,0.37378837641693885,0.16131118734387584,0.34430733838055017,0.8816787358125051
cs,PCE-best,4,0.36202871068278103,0.15613181562646114,0.33437763296476997,0.879442709684372
cs,PCE-best,5,0.3373596582794035,0.1484638053529914,0.31484850741062903,0.8766058818499247
cs,THExt,1,0.2750206603871899,0.1067948483322903,0.24814107126105323,0.8700733053684234
cs,THExt,2,0.3177007067292058,0.12113071749826654,0.2913196373516305,0.8697062774499258
cs,THExt,3,0.3138453027559469,0.12041777767249738,0.28991437050044283,0.8678696032365163
cs,THExt,4,0.2989257199169658,0.11718024798706757,0.2765283793071074,0.8659621600310008
cs,THExt,5,0.27820439104735745,0.11005992179397169,0.2593665135592837,0.8633478852113088
ai,direct-extraction,1,0.22740325932790315,0.07389982329797021,0.2077908294259177,0.8604689592664893
ai,direct-extraction,2,0.2813913064988302,0.08549706166281089,0.2598456651301397,0.8578833224195422
ai,direct-extraction,3,0.28502172260033964,0.08634107410836823,0.2633398527290944,0.8540463601097916
ai,direct-extraction,4,0.2660945362573156,0.07887486899284189,0.24752573981889828,0.8495970223889207
ai,direct-extraction,5,0.2469066037421251,0.07261730576751395,0.229467608644277,0.8471505452286113
bio,direct-extraction,1,0.23086570335837373,0.06681929709922997,0.1993538773454566,0.8497213425246313
bio,direct-extraction,2,0.27302771183403657,0.07877574190772473,0.2423078903401018,0.8523165731625043
bio,direct-extraction,3,0.273857041920017,0.08051839622754639,0.2465018104059516,0.8515270656147854
bio,direct-extraction,4,0.2620182524595367,0.07775892154017718,0.23788436535188656,0.8495228936902652
bio,direct-extraction,5,0.24788450865718506,0.07421669582088915,0.22641500318364252,0.8474975226980159
cs,direct-extraction,1,0.2461178345171038,0.07075975298190472,0.21716188928143765,0.8599950400988261
cs,direct-extraction,2,0.293976312158377,0.08753324444097091,0.26531785514328465,0.8615727357069651
cs,direct-extraction,3,0.28584689243141576,0.08367773182826502,0.25856026638421215,0.8577305416266123
cs,direct-extraction,4,0.2681425842761392,0.0788283109606088,0.24461298349360125,0.8542362344264984
cs,direct-extraction,5,0.24974588412304755,0.07424573750215661,0.22926109215053742,0.8506959128379822
